clip_id,dasakam,verse,half,split,audio_path,text_devanagari,text_clean,text_model_kannada,slp1,duration_s,sample_rate,channels,bit_depth,analysis_issues
nar_001_001_1,1,1,1,train,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dasakam 1/Narayaneeyam Dasakam 1.1.1.flac,सान्द्रानन्दावबोधात्मकमनुपमितं कालदेशावधिभ्यां निर्मुक्तं नित्यमुक्तं निगमशतसहस्रेण निर्भास्यमानम् ।,सान्द्रानन्दावबोधात्मकमनुपमितं कालदेशावधिभ्यां निर्मुक्तं नित्यमुक्तं निगमशतसहस्रेण निर्भास्यमानम् ।,ಸಾನ್ದ್ರಾನನ್ದಾವಬೋಧಾತ್ಮಕಮನುಪಮಿತಂ ಕಾಲದೇಶಾವಧಿಭ್ಯಾಂ ನಿರ್ಮುಕ್ತಂ ನಿತ್ಯಮುಕ್ತಂ ನಿಗಮಶತಸಹಸ್ರೇಣ ನಿರ್ಭಾಸ್ಯಮಾನಮ್,sAndrAnandAvaboDAtmakamanupamitaM kAladeSAvaDiByAM nirmuktaM nityamuktaM nigamaSatasahasreRa nirBAsyamAnam,15.861088,44100,2,16,
nar_001_001_2,1,1,2,train,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dasakam 1/Narayaneeyam Dasakam 1.1.2.flac,अस्पष्टं दृष्टमात्रे पुनरुरुपुरुषार्थात्मकं ब्रह्म तत्त्वं तत्तावद्भाति साक्षाद्गुरुपवनपुरे हन्त भाग्यं जनानाम् ॥,अस्पष्टं दृष्टमात्रे पुनरुरुपुरुषार्थात्मकं ब्रह्म तत्त्वं तत्तावद्भाति साक्षाद्गुरुपवनपुरे हन्त भाग्यं जनानाम् ॥,ಅಸ್ಪಷ್ಟಂ ದೃಷ್ಟಮಾತ್ರೇ ಪುನರುರುಪುರುಷಾರ್ಥಾತ್ಮಕಂ ಬ್ರಹ್ಮ ತತ್ತ್ವಂ ತತ್ತಾವದ್ಭಾತಿ ಸಾಕ್ಷಾದ್ಗುರುಪವನಪುರೇ ಹನ್ತ ಭಾಗ್ಯಂ ಜನಾನಾಮ್,aspazwaM dfzwamAtre punarurupuruzArTAtmakaM brahma tattvaM tattAvadBAti sAkzAdgurupavanapure hanta BAgyaM janAnAm,16.379501,44100,2,16,
nar_001_002_1,1,2,1,train,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dasakam 1/Narayaneeyam Dasakam 1.2.1.flac,एवं दुर्लभ्यवस्तुन्यपि सुलभतया हस्तलब्धे यदन्यत् तन्वा वाचा धिया वा भजति बत जनः क्षुद्रतैव स्फुटेयम् ।,एवं दुर्लभ्यवस्तुन्यपि सुलभतया हस्तलब्धे यदन्यत् तन्वा वाचा धिया वा भजति बत जनः क्षुद्रतैव स्फुटेयम् ।,ಏವಂ ದುರ್ಲಭ್ಯವಸ್ತುನ್ಯಪಿ ಸುಲಭತಯಾ ಹಸ್ತಲಬ್ಧೇ ಯದನ್ಯತ್ ತನ್ವಾ ವಾಚಾ ಧಿಯಾ ವಾ ಭಜತಿ ಬತ ಜನಃ ಕ್ಷುದ್ರತೈವ ಸ್ಫುಟೇಯಮ್,evaM durlaByavastunyapi sulaBatayA hastalabDe yadanyat tanvA vAcA DiyA vA Bajati bata janaH kzudratEva sPuweyam,16.778776,44100,2,16,
nar_001_002_2,1,2,2,train,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dasakam 1/Narayaneeyam Dasakam 1.2.2.flac,एते तावद्वयं तु स्थिरतरमनसा विश्वपीडापहत्यै निश्शेषात्मानमेनं गुरुपवनपुराधीशमेवाश्रयामः ॥,एते तावद्वयं तु स्थिरतरमनसा विश्वपीडापहत्यै निश्शेषात्मानमेनं गुरुपवनपुराधीशमेवाश्रयामः ॥,ಏತೇ ತಾವದ್ವಯಂ ತು ಸ್ಥಿರತರಮನಸಾ ವಿಶ್ವಪೀಡಾಪಹತ್ಯೈ ನಿಶ್ಶೇಷಾತ್ಮಾನಮೇನಂ ಗುರುಪವನಪುರಾಧೀಶಮೇವಾಶ್ರಯಾಮಃ,ete tAvadvayaM tu sTirataramanasA viSvapIqApahatyE niSSezAtmAnamenaM gurupavanapurADISamevASrayAmaH,16.613379,44100,2,16,
nar_001_003_1,1,3,1,train,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dasakam 1/Narayaneeyam Dasakam 1.3.1.flac,सत्त्वं यत्तत्पराभ्यामपरिकलनतो निर्मलं तेन तावत् भूतैर्भूतेन्द्रियैस्ते वपुरिति बहुशः श्रूयते व्यासवाक्यम् ।,सत्त्वं यत्तत्पराभ्यामपरिकलनतो निर्मलं तेन तावत् भूतैर्भूतेन्द्रियैस्ते वपुरिति बहुशः श्रूयते व्यासवाक्यम् ।,ಸತ್ತ್ವಂ ಯತ್ತತ್ಪರಾಭ್ಯಾಮಪರಿಕಲನತೋ ನಿರ್ಮಲಂ ತೇನ ತಾವತ್ ಭೂತೈರ್ಭೂತೇನ್ದ್ರಿಯೈಸ್ತೇ ವಪುರಿತಿ ಬಹುಶಃ ಶ್ರೂಯತೇ ವ್ಯಾಸವಾಕ್ಯಮ್,sattvaM yattatparAByAmaparikalanato nirmalaM tena tAvat BUtErBUtendriyEste vapuriti bahuSaH SrUyate vyAsavAkyam,17.109592,44100,2,16,
nar_001_003_2,1,3,2,train,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dasakam 1/Narayaneeyam Dasakam 1.3.2.flac,तत्स्वच्छत्वाद्यदच्छादितपरसुखचिद्गर्भनिर्भासरूपं तस्मिन्धन्या रमन्ते श्रुतिमतिमधुरे सुग्रहे विग्रहे ते ॥,तत्स्वच्छत्वाद्यदच्छादितपरसुखचिद्गर्भनिर्भासरूपं तस्मिन्धन्या रमन्ते श्रुतिमतिमधुरे सुग्रहे विग्रहे ते ॥,ತತ್ಸ್ವಚ್ಛತ್ವಾದ್ಯದಚ್ಛಾದಿತಪರಸುಖಚಿದ್ಗರ್ಭನಿರ್ಭಾಸರೂಪಂ ತಸ್ಮಿನ್ಧನ್ಯಾ ರಮನ್ತೇ ಶ್ರುತಿಮತಿಮಧುರೇ ಸುಗ್ರಹೇ ವಿಗ್ರಹೇ ತೇ,tatsvacCatvAdyadacCAditaparasuKacidgarBanirBAsarUpaM tasminDanyA ramante SrutimatimaDure sugrahe vigrahe te,15.944898,44100,2,16,
nar_001_004_1,1,4,1,train,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dasakam 1/Narayaneeyam Dasakam 1.4.1.flac,निष्कम्पे नित्यपूर्णे निरवधि परमानन्दपीयूषरूपे निर्लीनानेकमुक्तावलिसुभगतमे निर्मलब्रह्मसिन्धौ ।,निष्कम्पे नित्यपूर्णे निरवधि परमानन्दपीयूषरूपे निर्लीनानेकमुक्तावलिसुभगतमे निर्मलब्रह्मसिन्धौ ।,ನಿಷ್ಕಮ್ಪೇ ನಿತ್ಯಪೂರ್ಣೇ ನಿರವಧಿ ಪರಮಾನನ್ದಪೀಯೂಷರೂಪೇ ನಿರ್ಲೀನಾನೇಕಮುಕ್ತಾವಲಿಸುಭಗತಮೇ ನಿರ್ಮಲಬ್ರಹ್ಮಸಿನ್ಧೌ,nizkampe nityapUrRe niravaDi paramAnandapIyUzarUpe nirlInAnekamuktAvalisuBagatame nirmalabrahmasinDO,15.944898,44100,2,16,
nar_001_004_2,1,4,2,train,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dasakam 1/Narayaneeyam Dasakam 1.4.2.flac,कल्लोलोल्लासतुल्यं खलु विमलतरं सत्त्वमाहुस्तदात्मा कस्मान्नो निष्कलस्त्वं सकल इति वचस्त्वत्कलास्वेव भूमन्! ॥,कल्लोलोल्लासतुल्यं खलु विमलतरं सत्त्वमाहुस्तदात्मा कस्मान्नो निष्कलस्त्वं सकल इति वचस्त्वत्कलास्वेव भूमन्! ॥,ಕಲ್ಲೋಲೋಲ್ಲಾಸತುಲ್ಯಂ ಖಲು ವಿಮಲತರಂ ಸತ್ತ್ವಮಾಹುಸ್ತದಾತ್ಮಾ ಕಸ್ಮಾನ್ನೋ ನಿಷ್ಕಲಸ್ತ್ವಂ ಸಕಲ ಇತಿ ವಚಸ್ತ್ವತ್ಕಲಾಸ್ವೇವ ಭೂಮನ್,kallolollAsatulyaM Kalu vimalataraM sattvamAhustadAtmA kasmAnno nizkalastvaM sakala iti vacastvatkalAsveva BUman,16.066644,44100,2,16,long_trailing_silence
nar_001_005_1,1,5,1,train,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dasakam 1/Narayaneeyam Dasakam 1.5.1.flac,निर्व्यापारोऽपि निष्कारणमज! भजसे यत्क्रियामीक्षणाख्यां तेनैवोदेति लीना प्रकृतिरसतिकल्पापि कल्पादिकाले ।,निर्व्यापारोऽपि निष्कारणमज! भजसे यत्क्रियामीक्षणाख्यां तेनैवोदेति लीना प्रकृतिरसतिकल्पापि कल्पादिकाले ।,ನಿರ್ವ್ಯಾಪಾರೋಽಪಿ ನಿಷ್ಕಾರಣಮಜ ಭಜಸೇ ಯತ್ಕ್ರಿಯಾಮೀಕ್ಷಣಾಖ್ಯಾಂ ತೇನೈವೋದೇತಿ ಲೀನಾ ಪ್ರಕೃತಿರಸತಿಕಲ್ಪಾಪಿ ಕಲ್ಪಾದಿಕಾಲೇ,nirvyApAropi nizkAraRamaja Bajase yatkriyAmIkzaRAKyAM tenEvodeti lInA prakftirasatikalpApi kalpAdikAle,16.20449,44100,2,16,
nar_001_005_2,1,5,2,train,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dasakam 1/Narayaneeyam Dasakam 1.5.2.flac,तस्याः संशुद्धमंशं कमपि तमतिरोधायकं सत्त्वरूपं स त्वं धृत्वा दधासि स्वमहिमविभवाकुण्ठ! वैकुण्ठरूपम् ॥,तस्याः संशुद्धमंशं कमपि तमतिरोधायकं सत्त्वरूपं स त्वं धृत्वा दधासि स्वमहिमविभवाकुण्ठ! वैकुण्ठरूपम् ॥,ತಸ್ಯಾಃ ಸಂಶುದ್ಧಮಂಶಂ ಕಮಪಿ ತಮತಿರೋಧಾಯಕಂ ಸತ್ತ್ವರೂಪಂ ಸ ತ್ವಂ ಧೃತ್ವಾ ದಧಾಸಿ ಸ್ವಮಹಿಮವಿಭವಾಕುಣ್ಠ ವೈಕುಣ್ಠರೂಪಮ್,tasyAH saMSudDamaMSaM kamapi tamatiroDAyakaM sattvarUpaM sa tvaM DftvA daDAsi svamahimaviBavAkuRWa vEkuRWarUpam,16.05746,44100,2,16,long_trailing_silence
