clip_id,dasakam,verse,half,split,audio_path,text_devanagari,text_clean,text_model_kannada,slp1,duration_s,sample_rate,channels,bit_depth,analysis_issues
nar_001_001_1,1,1,1,train,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dasakam 1/Narayaneeyam Dasakam 1.1.1.flac,सान्द्रानन्दावबोधात्मकमनुपमितं कालदेशावधिभ्यां निर्मुक्तं नित्यमुक्तं निगमशतसहस्रेण निर्भास्यमानम् ।,सान्द्रानन्दावबोधात्मकमनुपमितं कालदेशावधिभ्यां निर्मुक्तं नित्यमुक्तं निगमशतसहस्रेण निर्भास्यमानम् ।,ಸಾನ್ದ್ರಾನನ್ದಾವಬೋಧಾತ್ಮಕಮನುಪಮಿತಂ ಕಾಲದೇಶಾವಧಿಭ್ಯಾಂ ನಿರ್ಮುಕ್ತಂ ನಿತ್ಯಮುಕ್ತಂ ನಿಗಮಶತಸಹಸ್ರೇಣ ನಿರ್ಭಾಸ್ಯಮಾನಮ್,sAndrAnandAvaboDAtmakamanupamitaM kAladeSAvaDiByAM nirmuktaM nityamuktaM nigamaSatasahasreRa nirBAsyamAnam,15.861088,44100,2,16,
nar_001_010_1,1,10,1,train,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dasakam 1/Narayaneeyam Dasakam 1.10.1.flac,ऐश्वर्यं शङ्करादीश्वरविनियमनं विश्वतेजोहराणां तेजस्संहारि वीर्यं विमलमपि यशो निस्पृहैश्चोपगीतम् ।,ऐश्वर्यं शङ्करादीश्वरविनियमनं विश्वतेजोहराणां तेजस्संहारि वीर्यं विमलमपि यशो निस्पृहैश्चोपगीतम् ।,ಐಶ್ವರ್ಯಂ ಶಙ್ಕರಾದೀಶ್ವರವಿನಿಯಮನಂ ವಿಶ್ವತೇಜೋಹರಾಣಾಂ ತೇಜಸ್ಸಂಹಾರಿ ವೀರ್ಯಂ ವಿಮಲಮಪಿ ಯಶೋ ನಿಸ್ಪೃಹೈಶ್ಚೋಪಗೀತಮ್,ESvaryaM SaNkarAdISvaraviniyamanaM viSvatejoharARAM tejassaMhAri vIryaM vimalamapi yaSo nispfhEScopagItam,16.616848,44100,2,16,
nar_002_008_2,2,8,2,train,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dasakam 2/Narayaneeyam Dasakam 2.8.2.flac,तत्त्वव्यक्ततया सुदुर्गमतरं चित्तस्य तस्माद्विभो त्वत्प्रेमात्मकभक्तिरेव सततं स्वादीयसी श्रेयसी ॥,तत्त्वव्यक्ततया सुदुर्गमतरं चित्तस्य तस्माद्विभो त्वत्प्रेमात्मकभक्तिरेव सततं स्वादीयसी श्रेयसी ॥,ತತ್ತ್ವವ್ಯಕ್ತತಯಾ ಸುದುರ್ಗಮತರಂ ಚಿತ್ತಸ್ಯ ತಸ್ಮಾದ್ವಿಭೋ ತ್ವತ್ಪ್ರೇಮಾತ್ಮಕಭಕ್ತಿರೇವ ಸತತಂ ಸ್ವಾದೀಯಸೀ ಶ್ರೇಯಸೀ,tattvavyaktatayA sudurgamataraM cittasya tasmAdviBo tvatpremAtmakaBaktireva satataM svAdIyasI SreyasI,16.871814,44100,2,16,
nar_003_007_2,3,7,2,train,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dasakam 3/Narayaneeyam Dasakam 3.7.2.flac,भवन्मूर्त्यालोके नयनमथ ते पादतुलसी- परिघ्राणे घ्राणं श्रवणमपि ते चारुचरिते ॥,भवन्मूर्त्यालोके नयनमथ ते पादतुलसी- परिघ्राणे घ्राणं श्रवणमपि ते चारुचरिते ॥,ಭವನ್ಮೂರ್ತ್ಯಾಲೋಕೇ ನಯನಮಥ ತೇ ಪಾದತುಲಸೀ ಪರಿಘ್ರಾಣೇ ಘ್ರಾಣಂ ಶ್ರವಣಮಪಿ ತೇ ಚಾರುಚರಿತೇ,BavanmUrtyAloke nayanamaTa te pAdatulasI pariGrARe GrARaM SravaRamapi te cArucarite,15.229456,44100,2,16,
nar_004_006_1,4,6,1,train,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dasakam 4/Narayaneeyam Dasakam 4.6.1.flac,ध्यायतां सकलमूर्तिमीदृशीम् उन्मिषन्मधुरताहृतात्मनाम् ।,ध्यायतां सकलमूर्तिमीदृशीम् उन्मिषन्मधुरताहृतात्मनाम् ।,ಧ್ಯಾಯತಾಂ ಸಕಲಮೂರ್ತಿಮೀದೃಶೀಮ್ ಉನ್ಮಿಷನ್ಮಧುರತಾಹೃತಾತ್ಮನಾಮ್,DyAyatAM sakalamUrtimIdfSIm unmizanmaDuratAhftAtmanAm,8.743878,44100,2,16,
nar_004_015_1,4,15,1,train,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dasakam 4/Narayaneeyam Dasakam 4.15.1.flac,अर्चिरादिगतिमीदृशीं व्रजन् विच्युतिं न भजते जगत्पते ।,अर्चिरादिगतिमीदृशीं व्रजन् विच्युतिं न भजते जगत्पते ।,ಅರ್ಚಿರಾದಿಗತಿಮೀದೃಶೀಂ ವ್ರಜನ್ ವಿಚ್ಯುತಿಂ ನ ಭಜತೇ ಜಗತ್ಪತೇ,arcirAdigatimIdfSIM vrajan vicyutiM na Bajate jagatpate,8.326667,44100,2,16,
nar_005_009_1,5,9,1,train,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dasakam 5/Narayaneeyam Dasakam 5.9.1.flac,एते भूतगणास्तथेन्द्रियगणा देवाश्च जाता: पृथक् नो शेकुर्भुवनाण्डनिर्मितिविधौ देवैरमीभिस्तदा ।,एते भूतगणास्तथेन्द्रियगणा देवाश्च जाता: पृथक् नो शेकुर्भुवनाण्डनिर्मितिविधौ देवैरमीभिस्तदा ।,ಏತೇ ಭೂತಗಣಾಸ್ತಥೇನ್ದ್ರಿಯಗಣಾ ದೇವಾಶ್ಚ ಜಾತಾಃ ಪೃಥಕ್ ನೋ ಶೇಕುರ್ಭುವನಾಣ್ಡನಿರ್ಮಿತಿವಿಧೌ ದೇವೈರಮೀಭಿಸ್ತದಾ,ete BUtagaRAstaTendriyagaRA devASca jAtAH pfTak no SekurBuvanARqanirmitiviDO devEramIBistadA,15.020385,44100,2,16,
nar_006_007_2,6,7,2,train,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dasakam 6/Narayaneeyam Dasakam 6.7.2.flac,कुक्षिस्समुद्रनिवहा वसनं तु सन्ध्ये शेफः प्रजापतिरसौ वृषणौ च मित्रः ॥,कुक्षिस्समुद्रनिवहा वसनं तु सन्ध्ये शेफः प्रजापतिरसौ वृषणौ च मित्रः ॥,ಕುಕ್ಷಿಸ್ಸಮುದ್ರನಿವಹಾ ವಸನಂ ತು ಸನ್ಧ್ಯೇ ಶೇಫಃ ಪ್ರಜಾಪತಿರಸೌ ವೃಷಣೌ ಚ ಮಿತ್ರಃ,kukzissamudranivahA vasanaM tu sanDye SePaH prajApatirasO vfzaRO ca mitraH,10.848413,44100,2,16,
nar_007_006_2,7,6,2,train,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dasakam 7/Narayaneeyam Dasakam 7.6.2.flac,त्वत्पादांबुजसौरभैककुतुकाल्लक्ष्मी: स्वयं लक्ष्यते यस्मिन् विस्मयनीयदिव्यविभवं तत्ते पदं देहि मे ॥,त्वत्पादांबुजसौरभैककुतुकाल्लक्ष्मी: स्वयं लक्ष्यते यस्मिन् विस्मयनीयदिव्यविभवं तत्ते पदं देहि मे ॥,ತ್ವತ್ಪಾದಾಂಬುಜಸೌರಭೈಕಕುತುಕಾಲ್ಲಕ್ಷ್ಮೀಃ ಸ್ವಯಂ ಲಕ್ಷ್ಯತೇ ಯಸ್ಮಿನ್ ವಿಸ್ಮಯನೀಯದಿವ್ಯವಿಭವಂ ತತ್ತೇ ಪದಂ ದೇಹಿ ಮೇ,tvatpAdAMbujasOraBEkakutukAllakzmIH svayaM lakzyate yasmin vismayanIyadivyaviBavaM tatte padaM dehi me,15.371315,44100,2,16,
nar_008_005_1,8,5,1,train,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dasakam 8/Narayaneeyam Dasakam 8.5.1.flac,दिनावसानेऽथ सरोजयोनिः सुषुप्तिकामस्त्वयि सन्निलिल्ये ।,दिनावसानेऽथ सरोजयोनिः सुषुप्तिकामस्त्वयि सन्निलिल्ये ।,ದಿನಾವಸಾನೇಽಥ ಸರೋಜಯೋನಿಃ ಸುಷುಪ್ತಿಕಾಮಸ್ತ್ವಯಿ ಸನ್ನಿಲಿಲ್ಯೇ,dinAvasAneTa sarojayoniH suzuptikAmastvayi sannililye,9.244603,44100,2,16,
nar_009_001_1,9,1,1,train,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dasakam 9/Narayaneeyam Dasakam 9.1.1.flac,स्थितस्स कमलोद्भवस्तव हि नाभिपङ्केरुहे कुत: स्विदिदमम्बुधावुदितमित्यनालोकयन् ।,स्थितस्स कमलोद्भवस्तव हि नाभिपङ्केरुहे कुत: स्विदिदमम्बुधावुदितमित्यनालोकयन् ।,ಸ್ಥಿತಸ್ಸ ಕಮಲೋದ್ಭವಸ್ತವ ಹಿ ನಾಭಿಪಙ್ಕೇರುಹೇ ಕುತಃ ಸ್ವಿದಿದಮಮ್ಬುಧಾವುದಿತಮಿತ್ಯನಾಲೋಕಯನ್,sTitassa kamalodBavastava hi nABipaNkeruhe kutaH svididamambuDAvuditamityanAlokayan,12.010091,44100,2,16,
nar_009_009_2,9,9,2,train,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dasakam 9/Narayaneeyam Dasakam 9.9.2.flac,उदीक्ष्य किल कम्पितं पयसि पङ्कजं वायुना भवद्बलविजृम्भित: पवनपाथसी पीतवान् ॥,उदीक्ष्य किल कम्पितं पयसि पङ्कजं वायुना भवद्बलविजृम्भित: पवनपाथसी पीतवान् ॥,ಉದೀಕ್ಷ್ಯ ಕಿಲ ಕಮ್ಪಿತಂ ಪಯಸಿ ಪಙ್ಕಜಂ ವಾಯುನಾ ಭವದ್ಬಲವಿಜೃಮ್ಭಿತಃ ಪವನಪಾಥಸೀ ಪೀತವಾನ್,udIkzya kila kampitaM payasi paNkajaM vAyunA BavadbalavijfmBitaH pavanapATasI pItavAn,12.639002,44100,2,16,
nar_011_008_2,11,8,2,train,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dashakam 11/Narayaneeyam Dasakam 11.8.2.flac,उभौ भवन्नाथमशेषलोकं रुषा न्यरुन्धां निजवासनान्धौ ॥,उभौ भवन्नाथमशेषलोकं रुषा न्यरुन्धां निजवासनान्धौ ॥,ಉಭೌ ಭವನ್ನಾಥಮಶೇಷಲೋಕಂ ರುಷಾ ನ್ಯರುನ್ಧಾಂ ನಿಜವಾಸನಾನ್ಧೌ,uBO BavannATamaSezalokaM ruzA nyarunDAM nijavAsanAnDO,10.226395,44100,2,16,
